implementation,n,run,milliseconds,checksum
CircularQueue,512,1,0.002600,130816
CircularQueue,512,2,0.002600,130816
CircularQueue,512,3,0.002600,130816
NaiveShiftQueue,512,1,0.006700,130816
NaiveShiftQueue,512,2,0.006700,130816
NaiveShiftQueue,512,3,0.006600,130816
CircularQueue,4096,1,0.023200,8386560
CircularQueue,4096,2,0.020000,8386560
CircularQueue,4096,3,0.020000,8386560
NaiveShiftQueue,4096,1,16.598000,8386560
NaiveShiftQueue,4096,2,16.872900,8386560
NaiveShiftQueue,4096,3,16.315200,8386560
CircularQueue,32768,1,0.160300,536854528
CircularQueue,32768,2,0.168300,536854528
CircularQueue,32768,3,0.162000,536854528
NaiveShiftQueue,32768,1,1068.597700,536854528
NaiveShiftQueue,32768,2,1066.317000,536854528
NaiveShiftQueue,32768,3,1070.486300,536854528
